ingredient_id,recipe_id,ingredient_name,qty_numeric,unit,qty_text
ING_14221a5c,R012,Cucumber,0.5,cup,
ING_073800b9,R012,Tomato,1.0,medium,
ING_ad89ec35,R012,Olive Oil,1.0,tbsp,
ING_c917730b,R012,Salt,1.0,tsp,
ING_c37206d6,R013,Dosa batter,2.0,cups,
ING_145a2e0e,R013,Potato,2.0,pcs,
ING_fbc606b2,R013,Onion,1.0,medium,
ING_a0817c2d,R013,Turmeric,0.5,tsp,
ING_368b3569,R013,Olive Oil,1.0,tbsp,
ING_0c93cb5a,R013,Pepper,0.5,tsp,
ING_e3dbe002,R014,Tomato,4.0,pcs,
ING_2ecf1d23,R014,Water,2.0,cups,
ING_1246ff33,R014,Butter,1.0,tbsp,
ING_636015f1,R014,Cream,2.0,tbsp,
ING_14f764de,R014,Green Chili,1.0,pcs,
ING_3e17941e,R014,Olive Oil,1.0,tbsp,
ING_5b6e201b,R015,Broccoli,1.0,cup,
ING_cb86b525,R015,Carrot,1.0,cup,
ING_fe3ac4eb,R015,Soy Sauce,1.0,tbsp,
ING_dcc9fa33,R015,Garlic,2.0,cloves,
ING_16e33772,R015,Salt,1.0,tsp,
ING_49696b4d,R016,Dosa batter,2.0,cups,
ING_0c4b384c,R016,Potato,2.0,pcs,
ING_b448eaad,R016,Onion,1.0,medium,
ING_f27bb305,R016,Turmeric,0.5,tsp,
ING_ec0a7151,R017,Pasta,200.0,g,
ING_eeec0f21,R017,Butter,2.0,tbsp,
ING_ed1f4fde,R017,Cream,100.0,ml,
ING_fb2b478a,R017,Parmesan,50.0,g,
ING_110961e8,R017,Green Chili,1.0,pcs,
ING_66c32fa0,R017,Olive Oil,1.0,tbsp,
ING_c872ad8f,R018,Chickpeas,1.0,cup,
ING_f617f842,R018,Cucumber,0.5,cup,
ING_b1fc1496,R018,Tomato,1.0,medium,
ING_3de0c9cf,R018,Olive Oil,1.0,tbsp,
ING_aae6ac07,R018,Green Chili,1.0,pcs,
ING_f0eeff63,R018,Coriander,1.0,tbsp,
ING_fcb2fdcd,R019,Chickpeas,1.0,cup,
ING_200ee18c,R019,Cucumber,0.5,cup,
ING_db90edc3,R019,Tomato,1.0,medium,
ING_80e42358,R019,Olive Oil,1.0,tbsp,
ING_a77f9b2b,R019,Olive Oil,1.0,tbsp,
ING_792aef27,R020,Chickpeas,1.0,cup,
ING_922c0e00,R020,Cucumber,0.5,cup,
ING_b25776b7,R020,Tomato,1.0,medium,
ING_00e7c770,R020,Olive Oil,1.0,tbsp,
ING_313bcd1a,R020,Coriander,1.0,tbsp,
ING_04ed04d2,R020,Pepper,0.5,tsp,
